climat Bouchagroun,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/1981 through 12/31/2022 ,,,,,,,,,,,,,,
Location: Latitude  34.718   Longitude 5.4693 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 87.27 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
PS                  MERRA-2 Surface Pressure (kPa) ,,,,,,,,,,,,,,
TS                  MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,,,,,,
T2M                 MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,
WD10M               MERRA-2 Wind Direction at 10 Meters (Degrees) ,,,,,,,,,,,,,,
WD50M               MERRA-2 Wind Direction at 50 Meters (Degrees) ,,,,,,,,,,,,,,
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,,,
WS50M               MERRA-2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,
T2MWET              MERRA-2 Wet Bulb Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
T2M_MAX             MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,,,,
T2M_MIN             MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,,,,,,,
WS10M_MAX           MERRA-2 Wind Speed at 10 Meters Maximum (m/s) ,,,,,,,,,,,,,,
WS10M_MIN           MERRA-2 Wind Speed at 10 Meters Minimum (m/s) ,,,,,,,,,,,,,,
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
ALLSKY_SRF_ALB      CERES SYN1deg All Sky Surface Albedo (dimensionless) ,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,101.23,100.84,100.42,100.21,100.25,100.21,100.39,100.37,100.56,100.75,101.36,100.48,100.59
PS,1982,100.82,100.72,100.75,100.16,100.52,100.37,100.31,100.23,100.53,100.33,100.81,101.14,100.56
PS,1983,102.05,100.83,100.8,100.37,100.26,100.39,100.32,100.18,100.55,101,100.62,101.01,100.7
PS,1984,101.12,100.76,100.3,100.25,99.8,100.47,100.54,100.29,100.34,100.79,100.51,101.06,100.52
PS,1985,100.49,100.92,100.44,100.3,100,100.22,100.38,100.38,100.69,100.9,100.52,101.1,100.53
PS,1986,101,100.15,100.66,100.17,100.54,100.22,100.36,100.3,100.56,100.77,101.07,101.45,100.61
PS,1987,100.84,100.53,100.62,100.71,100.28,100.39,100.11,100.26,100.61,100.62,100.74,101.08,100.57
PS,1988,101,100.8,100.74,100.2,100.01,100.06,100.27,100.21,100.62,100.65,100.82,101.26,100.55
PS,1989,101.84,101.39,100.58,100.11,100.34,100.35,100.46,100.18,100.31,100.85,100.64,100.82,100.65
PS,1990,101.31,101.35,101.42,100.3,100.38,100.27,100.36,100.53,100.52,100.35,100.55,100.78,100.67
PS,1991,101.33,100.71,100.15,100.43,100.4,100.32,100.27,100.39,100.5,100.5,100.9,101.52,100.62
PS,1992,101.44,101.41,100.7,100.33,100.37,100.1,100.35,100.42,100.66,100.18,101.13,100.88,100.66
PS,1993,101.8,101.04,100.84,100.28,100.12,100.22,100.39,100.38,100.27,100.35,100.61,101.19,100.62
PS,1994,100.96,100.66,100.91,100.34,100.16,100.43,100.27,100.3,100.33,100.5,101.08,101.48,100.62
PS,1995,101.31,101.05,100.63,100.39,100.39,100.14,100.12,100.13,100.35,100.97,100.81,100.71,100.58
PS,1996,100.33,100.46,100.33,100.25,100.27,100.56,100.43,100.14,100.25,100.77,100.98,100.44,100.43
PS,1997,100.93,101.64,101.08,100.44,100.29,99.96,100.25,100.37,100.59,100.52,100.41,100.79,100.6
PS,1998,101.12,101.44,101.08,100.17,100.19,100.46,100.24,100.33,100.24,100.86,100.8,101.26,100.68
PS,1999,100.92,100.91,100.37,100.53,100.36,100.3,100.12,100.09,100.21,100.69,100.78,101.1,100.53
PS,2000,101.35,101.6,100.91,100.07,100.21,100.57,100.22,100.49,100.31,100.61,100.73,100.9,100.66
